DATE,CPALTT01USM661S
1999-04-01,76.0815480462543
1999-05-01,76.1274079305498
1999-06-01,76.1274079305498
1999-07-01,76.4484271206184
1999-08-01,76.6318666578004
1999-09-01,76.952885847869
1999-10-01,77.0904655007555
1999-11-01,77.2280451536421
1999-12-01,77.4114846908241
2000-01-01,77.6407841123017
2000-02-01,77.9618033023702
2000-03-01,78.4204021453254
2000-04-01,78.3745422610299
2000-05-01,78.5121219139164
2000-06-01,78.9707207568715
2000-07-01,79.2000201783491
2000-08-01,79.2000201783491
2000-09-01,79.6127591370087
2000-10-01,79.7503387898952
2000-11-01,79.8879184427817
2000-12-01,80.0713579799638
2001-01-01,80.5299568229189
2001-02-01,80.713396360101
2001-03-01,80.7592562443965
2001-04-01,80.896835897283
2001-05-01,81.3095748559426
2001-06-01,81.4930143931247
2001-07-01,81.3554347402381
2001-08-01,81.3554347402381
2001-09-01,81.6764539303067
2001-10-01,81.4471545088292
2001-11-01,81.4012946245336
2001-12-01,81.3554347402381
2002-01-01,81.4930143931247
2002-02-01,81.6305940460112
2002-03-01,81.8598934674888
2002-04-01,82.2267725418529
2002-05-01,82.3184923104439
2002-06-01,82.3643521947394
2002-07-01,82.5477917319214
2002-08-01,82.777091153399
2002-09-01,82.9146708062856
2002-10-01,83.0981103434676
2002-11-01,83.2356899963541
2002-12-01,83.3732696492406
2003-01-01,83.7401487236048
2003-02-01,84.1987475665599
2003-03-01,84.3363272194464
2003-04-01,84.0153080293778
2003-05-01,83.8777283764913
2003-06-01,83.9694481450823
2003-07-01,84.2446074508554
